data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6053765,262,DJI121,121,2019-06-10,2019,2,Violence against civilians,Attack,Military Forces of Djibouti (1999-),,1,Civilians (Djibouti),,7,17,Eastern Africa,Djibouti,Tadjourah,Tadjourah,,Tadjourah,11.7853,42.8844,1,AINA,International,"On June 10 (or around), in Tadjourah, military forces shot at civilians, killing three and injuring an unknown number.",3,1571164540,DJI
5184515,262,DJI119,119,2019-05-08,2019,1,Riots,Violent demonstration,Rioters (Djibouti),Labour Group (Djibouti),5,Police Forces of Djibouti (1999-),,1,15,Eastern Africa,Djibouti,Djibouti,Djibouti,,Balbala,11.5619,43.1067,1,La Voix De Djibouti,National,"On May 8, in Balbalaa, in Djibouti's neighbourhood, workers of the Djibouti Agency of Roads (ADR) demonstrated to demand better working conditions. They reportedly burned tires. Rioters were arrested by police forces, and released later the same day. [size=no report]",0,1558389800,DJI
5130918,262,DJI118,118,2019-04-11,2019,1,Violence against civilians,Attack,Military Forces of Djibouti (1999-),,1,Civilians (Djibouti),,7,17,Eastern Africa,Djibouti,Dikhil,Dikhil,,Dikhil,11.1045,42.3697,2,La Voix De Djibouti,National,"On the night of April 11-12, between Dikhil and As Eyla, a military patrol fighting smugglers shot at a bus, injuring two civilians.",0,1555958739,DJI
4579402,262,DJI117,117,2018-12-21,2018,1,Strategic developments,Arrests,Police Forces of Djibouti (1999-),,1,Al Qaeda,,2,12,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,AFP,International,"On Dec 21, in Djibouti, French djihadist Peter Cherif was arrested by Djibouti Forces.",0,1552576420,DJI
6410070,262,DJI116,116,2018-08-07,2018,1,Strategic developments,Agreement,Government of Djibouti (1999-),,1,Government of Eritrea (1993-),,8,18,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,ESAT,International,Agreement: 07 September. Eritrea and Djibouti have signed a peace deal in Djibouti after years of stand off over border conflicts.,0,1575999996,DJI
6306531,262,DJI115,115,2018-05-14,2018,1,Riots,Violent demonstration,Police Forces of Djibouti (1999-),,1,Rioters (Djibouti),,5,15,Eastern Africa,Djibouti,Tadjourah,Tadjourah,,Tadjourah,11.7853,42.8844,1,RFI,International,"On 14 May, a youth demonstration over the results of a career recruitment drive for a newly constructed port led to clashes with police in Tadjourah. 80 people were arrested and released later on. The youth blocked roads, stoned the security forces and ransacked the Regional Council offices.",0,1572403775,DJI
4690113,262,DJI114,114,2017-10-27,2017,1,Protests,Excessive force against protesters,Protesters (Djibouti),,6,Police Forces of Djibouti (1999-),,1,16,Eastern Africa,Djibouti,Tadjourah,Tadjourah,,Tadjourah,11.7853,42.8844,1,CIVICUS,Other,"On 27th October, peaceful protests occurred in Tadjourah, northern Djibouti, where a port is to be built. The protesters were demanding jobs. Several demonstrators were injured when the police used live ammo and teargas to disperse the protesters",0,1552576745,DJI
6226991,262,DJI120,120,2017-10-08,2017,1,Riots,Violent demonstration,Rioters (Djibouti),Issa Clan Group (Djibouti),5,Military Forces of Djibouti (1999-),,1,15,Eastern Africa,Djibouti,Djibouti,Djibouti,,Balbala,11.5619,43.1067,1,Djib Live (Djibouti); Alwihda (Chad),New media-Regional,"On October 8, early in the morning, Military forces' bulldozers entered Balbala and demolished buildings and houses. In reaction, inhabitants, mostly from Issa ethncity, threw rocks and Molotov cocktails at soldiers. Military forces allegedly shot at inhabitants, injuring 9. 100 people were arrested. [size=no report]",0,1572403605,DJI
4724940,262,DJI112,112,2017-06-15,2017,3,Protests,Protest with intervention,Protesters (Djibouti),,6,Police Forces of Djibouti (1999-),,1,16,Eastern Africa,Djibouti,Tadjourah,Tadjourah,,Tadjourah,11.7853,42.8844,1,CIVICUS,Other,"In mid-June 2017, a youth protest demanding better access to jobs in the new Port of Tadjourah was cut short when security officials detained several dozen protesters at the Tadjourah Gendarmerie headquarters",0,1552576883,DJI
4752266,262,DJI111,111,2017-03-08,2017,2,Violence against civilians,Attack,Police Forces of Djibouti (1999-),,1,Civilians (Djibouti),Journalists (Djibouti),7,17,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,3,CIVICUS,Other,"In early March 2017, the famous caricaturist Idriss Hassan Mohamed was arrested and held in an undisclosed location for five days. According to LDDH, his leg was broken during interrogation and detention. LDDH claims he was arrested in retaliation for an article he published criticising the regime",0,1552577101,DJI
4767673,262,DJI110,110,2017-01-14,2017,1,Violence against civilians,Attack,Police Forces of Djibouti (1999-),,1,Civilians (Djibouti),USN: Union for National Salvation,7,17,Eastern Africa,Djibouti,Djibouti,Djibouti,,Balbala,11.5619,43.1067,1,US State Department,Other,"On January 14, authorities in Balbala reportedly arrested president of the Opposition Youth Movement and USN activist Zakaria Rirache Miguil during a meeting of opposition youth in his home. He was suspected of plotting to organise protests against President Guelleh's candidacy for a fourth mandate. He was allegedly tortured while detained",0,1552577119,DJI
6410472,262,DJI109,109,2016-11-03,2016,1,Protests,Excessive force against protesters,Police Forces of Djibouti (1999-),,1,Protesters (Ethiopia),Refugees/IDPs (Ethiopia); Oromo Ethnic Group (Ethiopia),6,16,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,3,Oromiya Media Network,International,Police reportedly shot and wounded three Oromo refugees in Djibouti as the refugees were protesting having to pay bribes to police in order to register with UNHCR.,0,1575999997,DJI
4797668,262,DJI108,108,2016-08-16,2016,1,Battles,Armed clash,Military Forces of Djibouti (1977-1999),,1,FRUD: Front of the Restoration of Unity and Democracy,,2,12,Eastern Africa,Djibouti,Tadjourah,Dorra,,Margoita,12.4056,42.4814,1,Ligue Djiboutienne des Droits Humains,Other,"FRUD forces attacked government soldiers at Margoita camp, leaving soldiers with injuries and stealing armaments.",0,1552577185,DJI
5131423,262,DJI107,107,2016-08-15,2016,1,Battles,Government regains territory,Military Forces of Djibouti (1977-1999),,1,FRUD: Front of the Restoration of Unity and Democracy,,2,12,Eastern Africa,Djibouti,Dikhil,Dikhil,,Yager,11.6731,42.0864,1,Ligue Djiboutienne des Droits Humains,Other,"Soldiers pushed away FRUD forces, including FRUD forces crossing from Ethiopia, on Yager mount in an attack on 15 August, leading to some injuries among soldiers.",0,1555958740,DJI
6357196,262,DJI106,106,2016-05-14,2016,1,Violence against civilians,Attack,Military Forces of Djibouti (1999-) Gendarmerie,,1,Civilians (Djibouti),,7,17,Eastern Africa,Djibouti,Ali Sabieh,Ali Sabieh,,Ali Sabieh,11.1558,42.7125,1,Ligue Djiboutienne des Droits Humains,Other,Agents of the Gendarmerie in Ali Sabieh allegedly arrested and beat a civilian without charge.,0,1574121964,DJI
4837145,262,DJI104,104,2016-01-11,2016,1,Violence against civilians,Attack,Police Forces of Djibouti (1999-),,1,Civilians (Djibouti),Journalists (Djibouti),7,17,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,Alkarama Foundation,Other,"Kadar Abdi Ibrahim, publication co-director of the Aurore newspaper, was arrested by police in connection with the publication of a photograph of a seven-year-old girl who died during the violent dispersal of a religious ceremony by the police and the Djibouti army on 21 December 2015. He was reportedly tortured in detention. He was later condemned to a two-month suspended prison sentence, while the publication of this monthly newspaper was also suspended for two months.",0,1552577230,DJI
6226990,262,DJI103,103,2015-12-21,2015,1,Battles,Armed clash,Police Forces of Djibouti (1999-),Military Forces of Djibouti (1999-),1,Issa Yonis Moussa Sub-Clan Militia (Djibouti),USN: Union for National Salvation,4,14,Eastern Africa,Djibouti,Djibouti,Djibouti,,Balbala,11.5619,43.1067,1,RFI; Puntland Post; Deutsche Welle,Regional-International,"Up to 27 people were reportedly killed and 150 injured in clashes between police, troops and armed members of the Yonis Moussa community in Balbala. Numbers provided by the International federation for Human Rights (FIDH) and the opposition are three times higher than authorities. Authorities reported that opponents attacked them armed with knives, machetes and two Kalashnikov guns, while the opposition emphasised they were attending a banned religious gathering when security forces attacked them. 17 people were arrested following the clashes, including members of the opposition coalition Union for National Salvation (USN).",27,1572403605,DJI
4840599,262,DJI101,101,2015-12-10,2015,1,Violence against civilians,Attack,Police Forces of Djibouti (1999-),,1,Civilians (Djibouti),LDDH: Djiboutian League of Human Rights,7,17,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,2,CIVICUS,Other,"On 10 December 2015, Said Hussein Robleh, the secretary general of LDDH and an opposition member of parliament, was insulted and publicly beaten by the Chief of Police while sitting in a cafe. He sustained serious injuries and was forced to seek medical assistance",0,1552577235,DJI
4843182,262,DJI100,100,2015-11-02,2015,1,Violence against civilians,Attack,Police Forces of Djibouti (1999-),,1,Civilians (Djibouti),MJO: Opposition Youth Movement,7,17,Eastern Africa,Djibouti,Djibouti,Djibouti,,Balbala,11.5619,43.1067,1,Alkarama Foundation,Other,Police violently arrested a young member of the Youth Opposition Movement (MJO). He was held at Gabode prison in harsh conditions and severely beaten during the course of his arrest.,0,1552577238,DJI
4843235,262,DJI99,99,2015-11-01,2015,1,Violence against civilians,Attack,Police Forces of Djibouti (1999-),,1,Civilians (Djibouti),MRD: Movement for Democratic Renewal,7,17,Eastern Africa,Djibouti,Djibouti,Djibouti,,Balbala,11.5619,43.1067,1,Alkarama Foundation,Other,"Police violently arrested six minors aged between 13 and 15 years from the Movement for Democratic Renewal (MRD) - a National Salvation Union (USN) party - in the Balbala Sheikh Moussa neighbourhood in Djibouti City, at a peaceful celebration before ransacking the partys premises. The minors were held at Gabode prison in harsh conditions",0,1552577238,DJI
6226992,262,DJI98,98,2015-10-23,2015,1,Violence against civilians,Attack,Police Forces of Djibouti (1999-),,1,Civilians (Djibouti),,7,17,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,3,AFP; RFI,International,"Seven people have been arrested over suspected links to the rebel Front for the Restoration of Unity and Democracy (FRUD). In total, 15 people have been put behind bars for their alledged link to FRUD. they have alledgedly been systematically tortured since their arrest",0,1572403605,DJI
